source,target,k,rep,f1_macro
M01,M02,0,0,0.6853130510527099
M01,M02,0,1,0.6742691287127172
M01,M02,0,2,0.6934050048906316
M01,M02,0,3,0.7128451380552221
M01,M02,0,4,0.6944304274147994
M01,M02,0,5,0.6734753005939447
M01,M02,0,6,0.6920410054096058
M01,M02,0,7,0.6941110171879403
M01,M02,0,8,0.6960989932885906
M01,M02,0,9,0.6565995310141017
M01,M02,0,10,0.6990935426595646
M01,M02,0,11,0.6521068066059577
M01,M02,0,12,0.6920410054096058
M01,M02,0,13,0.7073578595317725
M01,M02,0,14,0.6944304274147994
M01,M02,0,15,0.7131045297409031
M01,M02,0,16,0.6988397229452508
M01,M02,0,17,0.701805834233678
M01,M02,0,18,0.7018007202881152
M01,M02,0,19,0.6500187528224911
M01,M02,1,0,0.8006957047791894
M01,M02,1,1,0.7914023960535588
M01,M02,1,2,0.7250222834454259
M01,M02,1,3,0.7053921568627451
M01,M02,1,4,0.7092212976117989
M01,M02,1,5,0.7026058316380897
M01,M02,1,6,0.7842990303995503
M01,M02,1,7,0.6990324223391615
M01,M02,1,8,0.7495207135117112
M01,M02,1,9,0.7641538665840379
M01,M02,1,10,0.7661106233538191
M01,M02,1,11,0.8519631508941328
M01,M02,1,12,0.7531307599136342
M01,M02,1,13,0.8183035714285714
M01,M02,1,14,0.8028016153457849
M01,M02,1,15,0.6879497809762203
M01,M02,1,16,0.9095285397722932
M01,M02,1,17,0.7236282194848824
M01,M02,1,18,0.8538271604938271
M01,M02,1,19,0.694017672345168
M01,M02,2,0,0.8260207190737355
M01,M02,2,1,0.7385866166353972
M01,M02,2,2,0.7717478052673583
M01,M02,2,3,0.8497217068645639
M01,M02,2,4,0.7765844419807835
M01,M02,2,5,0.718015873015873
M01,M02,2,6,0.7966884232222604
M01,M02,2,7,0.8669767441860465
M01,M02,2,8,0.7213295283655611
M01,M02,2,9,0.722690317812269
M01,M02,2,10,0.7070916530095767
M01,M02,2,11,0.8791107974594213
M01,M02,2,12,0.7424528842298219
M01,M02,2,13,0.7404186795491143
M01,M02,2,14,0.7429981782922959
M01,M02,2,15,0.7243189404543986
M01,M02,2,16,0.7831885323891377
M01,M02,2,17,0.7856625530766719
M01,M02,2,18,0.8816198033465585
M01,M02,2,19,0.7352138426379367
M01,M02,3,0,0.7359768366295333
M01,M02,3,1,0.8379905808477237
M01,M02,3,2,0.7475112395632627
M01,M02,3,3,0.7959776796093931
M01,M02,3,4,0.8121557454890789
M01,M02,3,5,0.9114494329656673
M01,M02,3,6,0.8308429375502546
M01,M02,3,7,0.7886792452830189
M01,M02,3,8,0.8238396624472574
M01,M02,3,9,0.7639478471801091
M01,M02,3,10,0.9094592488701886
M01,M02,3,11,0.91109521813115
M01,M02,3,12,0.7778642359567215
M01,M02,3,13,0.9008171315863623
M01,M02,3,14,0.6728581552347916
M01,M02,3,15,0.8761074197120708
M01,M02,3,16,0.8166666666666667
M01,M02,3,17,0.728401727861771
M01,M02,3,18,0.911123614746679
M01,M02,3,19,0.7255256340743419
M01,M02,4,0,0.936218554104733
M01,M02,4,1,0.7809929494712103
M01,M02,4,2,0.7740748508131399
M01,M02,4,3,0.8902323376007586
M01,M02,4,4,0.9634624753211456
M01,M02,4,5,0.9068081343943413
M01,M02,4,6,0.7723063022362774
M01,M02,4,7,0.7975090083033056
M01,M02,4,8,0.7742601108359863
M01,M02,4,9,0.7925983179668379
M01,M02,4,10,0.9361931331657598
M01,M02,4,11,0.810566037735849
M01,M02,4,12,0.8558964255558683
M01,M02,4,13,0.9416758951642672
M01,M02,4,14,0.9217602591792656
M01,M02,4,15,0.8240740740740741
M01,M02,4,16,0.8558256988489547
M01,M02,4,17,0.8327884412571187
M01,M02,4,18,0.8367931957788628
M01,M02,4,19,0.8170756623005153
M01,M02,5,0,0.8653507914793825
M01,M02,5,1,0.7766176470588235
M01,M02,5,2,0.7922545561434451
M01,M02,5,3,0.8733333333333333
M01,M02,5,4,0.9663266069691452
M01,M02,5,5,0.9390857703327053
M01,M02,5,6,0.8727743933223385
M01,M02,5,7,0.8736305732484076
M01,M02,5,8,0.8046311314950501
M01,M02,5,9,0.8222222222222222
M01,M02,5,10,0.8476416694944011
M01,M02,5,11,0.9342880085653105
M01,M02,5,12,0.9478448275862069
M01,M02,5,13,0.9064144783134904
M01,M02,5,14,0.8488268488268489
M01,M02,5,15,0.8163502518403719
M01,M02,5,16,0.8223372143165157
M01,M02,5,17,0.8039645881447267
M01,M02,5,18,0.9331288866172587
M01,M02,5,19,0.7736765922249793
M01,M02,6,0,0.9356776700297124
M01,M02,6,1,0.7353249475890986
M01,M02,6,2,0.7788177339901478
M01,M02,6,3,0.9496412263535552
M01,M02,6,4,0.7797300312360553
M01,M02,6,5,0.6685906685906686
M01,M02,6,6,0.9246520556710927
M01,M02,6,7,0.7999301675977654
M01,M02,6,8,0.8758079280978668
M01,M02,6,9,0.8547815820543093
M01,M02,6,10,0.8955070603337613
M01,M02,6,11,0.8738033852707096
M01,M02,6,12,0.9449353310283006
M01,M02,6,13,0.9041769041769042
M01,M02,6,14,0.9089197669206635
M01,M02,6,15,0.9011526715050409
M01,M02,6,16,0.8142650999793857
M01,M02,6,17,0.9501685630004214
M01,M02,6,18,0.7437765634486946
M01,M02,6,19,0.7853801169590643
M01,M02,7,0,0.8763760823478328
M01,M02,7,1,0.9251040221914009
M01,M02,7,2,0.8261625380269448
M01,M02,7,3,0.9327841108663026
M01,M02,7,4,0.9167173714633404
M01,M02,7,5,0.8696949602122016
M01,M02,7,6,0.9061339132010511
M01,M02,7,7,0.8345988621850691
M01,M02,7,8,0.9573196591741528
M01,M02,7,9,0.8152723340992025
M01,M02,7,10,0.887886150642138
M01,M02,7,11,0.8130599307868948
M01,M02,7,12,0.8512820512820514
M01,M02,7,13,0.8423028785982478
M01,M02,7,14,0.8019534951527079
M01,M02,7,15,0.7839572192513369
M01,M02,7,16,0.9449114185956291
M01,M02,7,17,0.921
M01,M02,7,18,0.839003623825775
M01,M02,7,19,0.8420479302832244
M01,M02,8,0,0.8224219084296106
M01,M02,8,1,0.9548527808069793
M01,M02,8,2,0.7847688921496698
M01,M02,8,3,0.8325957475127275
M01,M02,8,4,0.8553271441202476
M01,M02,8,5,0.955021216407355
M01,M02,8,6,0.8061718369335715
M01,M02,8,7,0.9291299225249028
M01,M02,8,8,0.8061336254107339
M01,M02,8,9,0.9573674092502544
M01,M02,8,10,0.8494422965826779
M01,M02,8,11,0.9200407435701554
M01,M02,8,12,0.8363604962436315
M01,M02,8,13,0.8227513227513228
M01,M02,8,14,0.888427582915772
M01,M02,8,15,0.8613589057389235
M01,M02,8,16,0.9214370546318289
M01,M02,8,17,0.7342408037595203
M01,M02,8,18,0.7723325062034739
M01,M02,8,19,0.7862637362637362
M01,M02,9,0,0.9595673708682908
M01,M02,9,1,0.7877300613496933
M01,M02,9,2,0.8573950321523137
M01,M02,9,3,0.9522053609417104
M01,M02,9,4,0.8740471869328493
M01,M02,9,5,0.9413291796469366
M01,M02,9,6,0.9067978184651344
M01,M02,9,7,0.9408343361411953
M01,M02,9,8,0.934051724137931
M01,M02,9,9,0.9369923701698253
M01,M02,9,10,0.9094489611562782
M01,M02,9,11,0.9411221853082318
M01,M02,9,12,0.954866681118578
M01,M02,9,13,0.7876160990712074
M01,M02,9,14,0.9524357499041043
M01,M02,9,15,0.9546716874558719
M01,M02,9,16,0.8562228545754081
M01,M02,9,17,0.8367501375894331
M01,M02,9,18,0.9847968545216252
M01,M02,9,19,0.8383409921055732
M01,M02,10,0,0.9842364897444458
M01,M02,10,1,0.9382524939800481
M01,M02,10,2,0.9549466638778499
M01,M02,10,3,0.9336685823754789
M01,M02,10,4,0.93801191362621
M01,M02,10,5,0.8355883247187594
M01,M02,10,6,0.9159331776540327
M01,M02,10,7,0.836159420289855
M01,M02,10,8,0.9159901011592064
M01,M02,10,9,0.9301985370950888
M01,M02,10,10,0.8805790833183156
M01,M02,10,11,0.881817739502749
M01,M02,10,12,0.967172712933754
M01,M02,10,13,0.932975113122172
M01,M02,10,14,0.8896969696969697
M01,M02,10,15,0.9521299956082565
M01,M02,10,16,0.9517099157930915
M01,M02,10,17,0.9668416030534351
M01,M02,10,18,0.9668632075471698
M01,M02,10,19,0.8430557254086666
M01,M02,11,0,0.8225308641975309
M01,M02,11,1,0.8734222604704532
M01,M02,11,2,0.9648009950248757
M01,M02,11,3,0.7905036064301194
M01,M02,11,4,0.8860742254000681
M01,M02,11,5,0.9198794224972235
M01,M02,11,6,0.9159505907626209
M01,M02,11,7,0.9828769319566473
M01,M02,11,8,0.8617925971245028
M01,M02,11,9,0.9474112225535376
M01,M02,11,10,0.9645021645021645
M01,M02,11,11,0.9247835497835497
M01,M02,11,12,0.924404761904762
M01,M02,11,13,0.9829602209295494
M01,M02,11,14,0.9670777591973244
M01,M02,11,15,0.8670382165605095
M01,M02,11,16,0.9839443257164776
M01,M02,11,17,0.9545250560957368
M01,M02,11,18,0.888410168031021
M01,M02,11,19,0.8302758070609966
M01,M02,12,0,0.9340986394557823
M01,M02,12,1,0.9621397915389331
M01,M02,12,2,0.9334514170040487
M01,M02,12,3,0.9818950628312787
M01,M02,12,4,0.837985790270606
M01,M02,12,5,0.9182922340817077
M01,M02,12,6,0.8599751066856329
M01,M02,12,7,0.8132201334141904
M01,M02,12,8,0.9816879568780921
M01,M02,12,9,0.9245228455754771
M01,M02,12,10,0.8307845084409136
M01,M02,12,11,0.981847873877269
M01,M02,12,12,0.9245228455754771
M01,M02,12,13,0.9620232708468003
M01,M02,12,14,0.9015916149068324
M01,M02,12,15,0.9646174863387978
M01,M02,12,16,0.8415775401069518
M01,M02,12,17,0.9414741474147414
M01,M02,12,18,0.9407589407589407
M01,M02,12,19,0.9449050755521116
M01,M02,13,0,0.9246498599439776
M01,M02,13,1,0.918246005202527
M01,M02,13,2,0.9118122977346279
M01,M02,13,3,0.980415383400458
M01,M02,13,4,0.9624608967674662
M01,M02,13,5,0.9410430839002267
M01,M02,13,6,0.9646825396825397
M01,M02,13,7,0.9412597310686482
M01,M02,13,8,0.9597527472527473
M01,M02,13,9,0.9185926181441877
M01,M02,13,10,0.9363144963144963
M01,M02,13,11,0.9596300645918967
M01,M02,13,12,0.9595543345543346
M01,M02,13,13,0.9192601291837933
M01,M02,13,14,0.9088229245218344
M01,M02,13,15,0.962012987012987
M01,M02,13,16,0.9377099236641222
M01,M02,13,17,0.9366139954853273
M01,M02,13,18,0.9358217270194986
M01,M02,13,19,0.8732205210851464
M01,M02,14,0,0.9121823617339313
M01,M02,14,1,0.935798319327731
M01,M02,14,2,0.9452937547131007
M01,M02,14,3,0.8667582417582418
M01,M02,14,4,0.9598435462842243
M01,M02,14,5,0.9115384615384616
M01,M02,14,6,0.9557692307692307
M01,M02,14,7,0.9247400109469075
M01,M02,14,8,0.945063870634276
M01,M02,14,9,0.9361439588688947
M01,M02,14,10,0.9021442495126706
M01,M02,14,11,0.9561688311688312
M01,M02,14,12,0.919060858819895
M01,M02,14,13,0.9590632140137091
M01,M02,14,14,0.875644525326054
M01,M02,14,15,0.8345924908424909
M01,M02,14,16,0.9559523809523809
M01,M02,14,17,0.8755760368663594
M01,M02,14,18,0.9560708898944192
M01,M02,14,19,0.9367880085653104
M01,M02,15,0,0.976898471745054
M01,M02,15,1,1.0
M01,M02,15,2,0.9035043169121382
M01,M02,15,3,0.9785754985754986
M01,M02,15,4,0.8450773213910854
M01,M02,15,5,0.9302781041911476
M01,M02,15,6,0.9523033020790868
M01,M02,15,7,0.9308865047995483
M01,M02,15,8,0.9236854350860866
M01,M02,15,9,0.9595699576014537
M01,M02,15,10,0.9039095619406501
M01,M02,15,11,0.9314118221787983
M01,M02,15,12,0.8863341688996456
M01,M02,15,13,0.8805620608899297
M01,M02,15,14,0.9788505747126437
M01,M02,15,15,0.9512341962673088
M01,M02,15,16,0.9251854240567559
M01,M02,15,17,0.9110800744878957
M01,M02,15,18,0.9523715415019762
M01,M02,15,19,0.9554924242424242
M01,M02,16,0,0.9525923295454546
M01,M02,16,1,0.9750566893424035
M01,M02,16,2,0.9745293466223699
M01,M02,16,3,0.8560283687943262
M01,M02,16,4,0.9525769506084467
M01,M02,16,5,0.9252006420545746
M01,M02,16,6,0.9255288322225441
M01,M02,16,7,0.9745511319281811
M01,M02,16,8,0.9749798224374495
M01,M02,16,9,0.9769688799011347
M01,M02,16,10,0.9515692640692641
M01,M02,16,11,0.9123563218390804
M01,M02,16,12,0.9751803751803751
M01,M02,16,13,0.9478540772532189
M01,M02,16,14,0.8933774834437087
M01,M02,16,15,0.9248677248677248
M01,M02,16,16,1.0
M01,M02,16,17,0.9750463114307508
M01,M02,16,18,0.9252006420545746
M01,M02,16,19,0.9235880398671097
M01,M02,17,0,0.9750768904443737
M01,M02,17,1,0.9471590909090909
M01,M02,17,2,0.8329542352834137
M01,M02,17,3,0.9720448662640206
M01,M02,17,4,0.9475490196078431
M01,M02,17,5,0.9752895752895753
M01,M02,17,6,0.9179851469163707
M01,M02,17,7,1.0
M01,M02,17,8,0.9725996118278342
M01,M02,17,9,0.8061846689895471
M01,M02,17,10,0.9525769506084467
M01,M02,17,11,0.8955555555555557
M01,M02,17,12,0.9467741935483871
M01,M02,17,13,0.9419934640522876
M01,M02,17,14,0.9720230809582094
M01,M02,17,15,0.9471590909090909
M01,M02,17,16,0.947983870967742
M01,M02,17,17,0.9031028851388133
M01,M02,17,18,0.9472677595628416
M01,M02,17,19,0.9150285351934051
M01,M02,18,0,0.9720119697236402
M01,M02,18,1,0.8241167434715821
M01,M02,18,2,0.9073136673066853
M01,M02,18,3,0.941111111111111
M01,M02,18,4,0.8948979591836734
M01,M02,18,5,0.906781317178034
M01,M02,18,6,0.9404121863799283
M01,M02,18,7,0.9720119697236402
M01,M02,18,8,0.9350961538461539
M01,M02,18,9,0.8684640522875817
M01,M02,18,10,0.9404121863799283
M01,M02,18,11,1.0
M01,M02,18,12,1.0
M01,M02,18,13,0.891869918699187
M01,M02,18,14,0.8950495049504951
M01,M02,18,15,0.935237556561086
M01,M02,18,16,0.8515873015873017
M01,M02,18,17,0.7948717948717949
M01,M02,18,18,0.94234360410831
M01,M02,18,19,0.8685344827586207
M01,M02,19,0,0.9650055370985604
M01,M02,19,1,0.9650055370985604
M01,M02,19,2,1.0
M01,M02,19,3,0.8950819672131147
M01,M02,19,4,0.9160021265284424
M01,M02,19,5,0.9411976911976911
M01,M02,19,6,0.8939759036144579
M01,M02,19,7,1.0
M01,M02,19,8,0.934691011235955
M01,M02,19,9,0.8684640522875817
M01,M02,19,10,0.8822663723325975
M01,M02,19,11,0.9403794037940378
M01,M02,19,12,0.9334677419354839
M01,M02,19,13,0.9263089851325146
M01,M02,19,14,1.0
M01,M02,19,15,0.8950819672131147
M01,M02,19,16,1.0
M01,M02,19,17,0.9650273224043716
M01,M02,19,18,0.8957983193277311
M01,M02,19,19,0.759773904851625
M01,M02,20,0,0.964642375168691
M01,M02,20,1,1.0
M01,M02,20,2,0.8804371116348833
M01,M02,20,3,0.9252380952380952
M01,M02,20,4,0.9259672619047619
M01,M02,20,5,0.9259941089837997
M01,M02,20,6,0.9604046746903889
M01,M02,20,7,0.9133986928104576
M01,M02,20,8,0.9056422569027611
M01,M02,20,9,0.8796973518284994
M01,M02,20,10,0.9334349593495934
M01,M02,20,11,0.9245391705069124
M01,M02,20,12,0.964642375168691
M01,M02,20,13,1.0
M01,M02,20,14,0.9245391705069124
M01,M02,20,15,0.92583918813427
M01,M02,20,16,0.8690119760479043
M01,M02,20,17,0.9083322116031767
M01,M02,20,18,0.868421052631579
M01,M02,20,19,0.9651560926485399
M01,M03,0,0,0.8731167608286252
M01,M03,0,1,0.8985888993414863
M01,M03,0,2,0.8985888993414863
M01,M03,0,3,0.8552631578947368
M01,M03,0,4,0.8985888993414863
M01,M03,0,5,0.8124844689627753
M01,M03,0,6,0.7066666666666667
M01,M03,0,7,0.8552631578947368
M01,M03,0,8,0.7471857410881801
M01,M03,0,9,0.8124844689627753
M01,M03,0,10,0.8731167608286252
M01,M03,0,11,0.8985888993414863
M01,M03,0,12,0.8505849087985807
M01,M03,0,13,0.7633740984634682
M01,M03,0,14,0.8552631578947368
M01,M03,0,15,0.8552631578947368
M01,M03,0,16,0.8985888993414863
M01,M03,0,17,0.8552631578947368
M01,M03,0,18,0.8985888993414863
M01,M03,0,19,0.8505849087985807
M01,M03,1,0,0.8830673969992855
M01,M03,1,1,0.8830673969992855
M01,M03,1,2,0.7701788527476601
M01,M03,1,3,0.8312543312543312
M01,M03,1,4,0.8312925170068026
M01,M03,1,5,0.8830673969992855
M01,M03,1,6,0.8312456506610995
M01,M03,1,7,0.8830673969992855
M01,M03,1,8,0.8830832089259055
M01,M03,1,9,0.830715532286213
M01,M03,1,10,0.8312456506610995
M01,M03,1,11,0.8312456506610995
M01,M03,1,12,0.8312925170068026
M01,M03,1,13,0.9275383707201889
M01,M03,1,14,0.8830925419757907
M01,M03,1,15,0.8830479864962624
M01,M03,1,16,0.8312543312543312
M01,M03,1,17,0.8830479864962624
M01,M03,1,18,0.8830479864962624
M01,M03,1,19,0.7701203905583467
M01,M03,2,0,0.7976635514018692
M01,M03,2,1,0.8619414483821264
M01,M03,2,2,0.9155277145026576
M01,M03,2,3,0.7979591836734694
M01,M03,2,4,0.8619414483821264
M01,M03,2,5,0.8619062598301352
M01,M03,2,6,0.9155065738592421
M01,M03,2,7,0.9609683361108675
M01,M03,2,8,0.7977426636568848
M01,M03,2,9,0.9155277145026576
M01,M03,2,10,0.8619298789947254
M01,M03,2,11,0.7977116704805491
M01,M03,2,12,0.8619414483821264
