source,target,k,rep,f1_macro
M01,M02,0,0,0.4297520661157025
M01,M02,0,1,0.4036697247706422
M01,M02,0,2,0.4329896907216495
M01,M02,0,3,0.46938775510204084
M01,M02,0,4,0.4424778761061947
M01,M02,0,5,0.4067796610169492
M01,M02,0,6,0.43859649122807015
M01,M02,0,7,0.4380952380952381
M01,M02,0,8,0.4375
M01,M02,0,9,0.3851851851851852
M01,M02,0,10,0.4444444444444444
M01,M02,0,11,0.36363636363636365
M01,M02,0,12,0.43859649122807015
M01,M02,0,13,0.45652173913043476
M01,M02,0,14,0.4424778761061947
M01,M02,0,15,0.46808510638297873
M01,M02,0,16,0.4421052631578947
M01,M02,0,17,0.45454545454545453
M01,M02,0,18,0.4489795918367347
M01,M02,0,19,0.36036036036036034
M01,M02,1,0,0.6206896551724138
M01,M02,1,1,0.6060606060606061
M01,M02,1,2,0.4883720930232558
M01,M02,1,3,0.45
M01,M02,1,4,0.46153846153846156
M01,M02,1,5,0.4444444444444444
M01,M02,1,6,0.5945945945945946
M01,M02,1,7,0.4418604651162791
M01,M02,1,8,0.5348837209302325
M01,M02,1,9,0.5609756097560976
M01,M02,1,10,0.5647058823529412
M01,M02,1,11,0.7169811320754716
M01,M02,1,12,0.5411764705882353
M01,M02,1,13,0.65625
M01,M02,1,14,0.6285714285714286
M01,M02,1,15,0.425531914893617
M01,M02,1,16,0.8260869565217391
M01,M02,1,17,0.48936170212765956
M01,M02,1,18,0.72
M01,M02,1,19,0.4318181818181818
M01,M02,2,0,0.7804878048780488
M01,M02,2,1,0.5074626865671642
M01,M02,2,2,0.5915492957746479
M01,M02,2,3,0.8461538461538461
M01,M02,2,4,0.64
M01,M02,2,5,0.6545454545454545
M01,M02,2,6,0.6
M01,M02,2,7,0.7441860465116279
M01,M02,2,8,0.5901639344262295
M01,M02,2,9,0.47619047619047616
M01,M02,2,10,0.6031746031746031
M01,M02,2,11,0.7692307692307693
M01,M02,2,12,0.5151515151515151
M01,M02,2,13,0.5185185185185185
M01,M02,2,14,0.5194805194805194
M01,M02,2,15,0.46511627906976744
M01,M02,2,16,0.5294117647058824
M01,M02,2,17,0.5970149253731343
M01,M02,2,18,0.7727272727272727
M01,M02,2,19,0.4931506849315068
M01,M02,3,0,0.5396825396825397
M01,M02,3,1,0.6923076923076923
M01,M02,3,2,0.7058823529411765
M01,M02,3,3,0.6567164179104478
M01,M02,3,4,0.6461538461538462
M01,M02,3,5,0.723404255319149
M01,M02,3,6,0.6785714285714286
M01,M02,3,7,0.6382978723404256
M01,M02,3,8,0.7659574468085106
M01,M02,3,9,0.5205479452054794
M01,M02,3,10,0.8333333333333334
M01,M02,3,11,0.8837209302325582
M01,M02,3,12,0.5769230769230769
M01,M02,3,13,0.8444444444444444
M01,M02,3,14,0.3950617283950617
M01,M02,3,15,0.8292682926829268
M01,M02,3,16,0.9090909090909091
M01,M02,3,17,0.5
M01,M02,3,18,0.7692307692307693
M01,M02,3,19,0.48484848484848486
M01,M02,4,0,0.6415094339622641
M01,M02,4,1,0.5974025974025974
M01,M02,4,2,0.6363636363636364
M01,M02,4,3,0.5882352941176471
M01,M02,4,4,0.6896551724137931
M01,M02,4,5,0.8292682926829268
M01,M02,4,6,0.5057471264367817
M01,M02,4,7,0.6666666666666666
M01,M02,4,8,0.5757575757575758
M01,M02,4,9,0.6
M01,M02,4,10,0.8780487804878049
M01,M02,4,11,0.5714285714285714
M01,M02,4,12,0.7017543859649122
M01,M02,4,13,0.9047619047619048
M01,M02,4,14,0.8
M01,M02,4,15,0.7906976744186046
M01,M02,4,16,0.75
M01,M02,4,17,0.8095238095238095
M01,M02,4,18,0.7222222222222222
M01,M02,4,19,0.723404255319149
M01,M02,5,0,0.5757575757575758
M01,M02,5,1,0.6792452830188679
M01,M02,5,2,0.5714285714285714
M01,M02,5,3,0.9302325581395349
M01,M02,5,4,0.7368421052631579
M01,M02,5,5,0.926829268292683
M01,M02,5,6,0.4583333333333333
M01,M02,5,7,0.7142857142857143
M01,M02,5,8,0.6785714285714286
M01,M02,5,9,0.5588235294117647
M01,M02,5,10,0.6779661016949152
M01,M02,5,11,0.9545454545454546
M01,M02,5,12,0.8717948717948718
M01,M02,5,13,0.7804878048780488
M01,M02,5,14,0.6909090909090909
M01,M02,5,15,0.7169811320754716
M01,M02,5,16,0.64
M01,M02,5,17,0.5555555555555556
M01,M02,5,18,0.8717948717948718
M01,M02,5,19,0.7777777777777778
M01,M02,6,0,0.851063829787234
M01,M02,6,1,0.44776119402985076
M01,M02,6,2,0.9
M01,M02,6,3,0.6538461538461539
M01,M02,6,4,0.6153846153846154
M01,M02,6,5,0.42105263157894735
M01,M02,6,6,0.9090909090909091
M01,M02,6,7,0.7111111111111111
M01,M02,6,8,0.5538461538461539
M01,M02,6,9,0.6060606060606061
M01,M02,6,10,0.7777777777777778
M01,M02,6,11,0.7692307692307693
M01,M02,6,12,0.9230769230769231
M01,M02,6,13,0.8292682926829268
M01,M02,6,14,0.6923076923076923
M01,M02,6,15,0.8333333333333334
M01,M02,6,16,0.5151515151515151
M01,M02,6,17,0.926829268292683
M01,M02,6,18,0.7142857142857143
M01,M02,6,19,0.5714285714285714
M01,M02,7,0,0.6
M01,M02,7,1,0.8947368421052632
M01,M02,7,2,0.7428571428571429
M01,M02,7,3,0.8205128205128205
M01,M02,7,4,0.8571428571428571
M01,M02,7,5,0.7027027027027027
M01,M02,7,6,0.8717948717948718
M01,M02,7,7,0.59375
M01,M02,7,8,0.918918918918919
M01,M02,7,9,0.723404255319149
M01,M02,7,10,0.8888888888888888
M01,M02,7,11,0.8717948717948718
M01,M02,7,12,0.8235294117647058
M01,M02,7,13,0.8571428571428571
M01,M02,7,14,0.7441860465116279
M01,M02,7,15,0.7272727272727273
M01,M02,7,16,0.8717948717948718
M01,M02,7,17,0.8571428571428571
M01,M02,7,18,0.8108108108108109
M01,M02,7,19,0.9230769230769231
M01,M02,8,0,0.5396825396825397
M01,M02,8,1,0.8888888888888888
M01,M02,8,2,0.7272727272727273
M01,M02,8,3,0.7777777777777778
M01,M02,8,4,0.7058823529411765
M01,M02,8,5,0.8
M01,M02,8,6,0.5777777777777777
M01,M02,8,7,0.8823529411764706
M01,M02,8,8,0.5833333333333334
M01,M02,8,9,0.8947368421052632
M01,M02,8,10,0.8205128205128205
M01,M02,8,11,0.8823529411764706
M01,M02,8,12,0.9473684210526315
M01,M02,8,13,0.8095238095238095
M01,M02,8,14,0.8484848484848485
M01,M02,8,15,0.7058823529411765
M01,M02,8,16,0.7659574468085106
M01,M02,8,17,0.6
M01,M02,8,18,0.5925925925925926
M01,M02,8,19,0.8333333333333334
M01,M02,9,0,0.8
M01,M02,9,1,0.8
M01,M02,9,2,0.7619047619047619
M01,M02,9,3,0.9090909090909091
M01,M02,9,4,0.7333333333333333
M01,M02,9,5,0.8571428571428571
M01,M02,9,6,0.8888888888888888
M01,M02,9,7,0.9142857142857143
M01,M02,9,8,0.875
M01,M02,9,9,0.8823529411764706
M01,M02,9,10,0.8947368421052632
M01,M02,9,11,0.9142857142857143
M01,M02,9,12,0.8095238095238095
M01,M02,9,13,0.8387096774193549
M01,M02,9,14,0.8484848484848485
M01,M02,9,15,0.8823529411764706
M01,M02,9,16,0.6
M01,M02,9,17,0.6530612244897959
M01,M02,9,18,0.9714285714285714
M01,M02,9,19,0.6808510638297872
M01,M02,10,0,0.7804878048780488
M01,M02,10,1,0.6666666666666666
M01,M02,10,2,0.9142857142857143
M01,M02,10,3,0.9090909090909091
M01,M02,10,4,0.9375
M01,M02,10,5,0.6956521739130435
M01,M02,10,6,0.5384615384615384
M01,M02,10,7,0.7692307692307693
M01,M02,10,8,0.8666666666666667
M01,M02,10,9,0.8
M01,M02,10,10,0.875
M01,M02,10,11,0.875
M01,M02,10,12,0.9090909090909091
M01,M02,10,13,0.9032258064516129
M01,M02,10,14,0.7894736842105263
M01,M02,10,15,0.9375
M01,M02,10,16,0.9411764705882353
M01,M02,10,17,0.8888888888888888
M01,M02,10,18,0.8648648648648649
M01,M02,10,19,0.7407407407407407
M01,M02,11,0,0.875
M01,M02,11,1,0.7111111111111111
M01,M02,11,2,0.9032258064516129
M01,M02,11,3,0.75
M01,M02,11,4,0.8
M01,M02,11,5,0.875
M01,M02,11,6,1.0
M01,M02,11,7,0.9411764705882353
M01,M02,11,8,0.7777777777777778
M01,M02,11,9,0.896551724137931
M01,M02,11,10,0.9032258064516129
M01,M02,11,11,0.896551724137931
M01,M02,11,12,0.7741935483870968
M01,M02,11,13,0.967741935483871
M01,M02,11,14,0.9333333333333333
M01,M02,11,15,0.8484848484848485
M01,M02,11,16,1.0
M01,M02,11,17,0.8387096774193549
M01,M02,11,18,0.8148148148148148
M01,M02,11,19,0.6511627906976745
M01,M02,12,0,0.8235294117647058
M01,M02,12,1,0.8461538461538461
M01,M02,12,2,0.8387096774193549
M01,M02,12,3,0.8484848484848485
M01,M02,12,4,0.7368421052631579
M01,M02,12,5,0.9285714285714286
M01,M02,12,6,0.8235294117647058
M01,M02,12,7,0.6666666666666666
M01,M02,12,8,0.9655172413793104
M01,M02,12,9,0.8571428571428571
M01,M02,12,10,0.8
M01,M02,12,11,0.9333333333333333
